ville_id,ville,lat,lon,,,,
305,La Planche des Belles Filles,47.77454,6.77821,,,,
306,LA ROCHE SUR YON,46.67051,-1.42644,,,,
307,LA ROCHELLE,46.16033,-1.15114,,,,
308,LA RUCHERE,45.41122,5.80322,,,,
309,LA SEU d'URGELL,42.35758,1.45555,,,,
310,LA TOUR DU PIN,45.56403,5.44533,,,,
311,LA TOUSSUIRE,45.24327,6.30137,,,,
312,LAC DE MADINE,48.92162,5.73618,,,,
313,LAC DE VASSIVIERE,45.79722,1.87917,,,,
314,LAC SANT POINT,46.82782,6.3256,,,,
315,LACANAU,44.97846,-1.07575,,,,
316,LACANAU OCEAN,45.00214,-1.19474,,,,
317,LAMBALLE,48.46864,-2.51732,,,,
318,LANESTER,47.76349,-3.34735,,,,
319,LANGON,44.55542,-0.24513,,,,
320,LANION,48.73208,-3.45914,,,,
321,LANNEMEZAN,43.12552,0.38396,,,,
322,LANS EN VERCORS,45.12798,5.58827,,,,
323,LAON,49.56413,3.61989,,,,
324,LAPLUME,44.11069,0.53232,,,,
325,LARUNS,42.98764,-0.42627,,,,
326,LAUSANA,46.51965,6.63227,,,,
327,LAUSANNE,46.51965,6.63227,,,,
328,LAVAL,48.07851,-0.76699,,,,
329,LAVAUR,43.69919,1.8207,,,,
330,Lavelaet,42.93765,1.85147,,,,
331,LAVELANET,42.93765,1.85147,,,,
332,LE BLANC,46.63324,1.06429,,,,
333,LE BOURG D'OISANS,45.05195,6.03006,,,,
334,LE CAP D'AGDE,43.28074,3.5054,,,,
335,Le Cap de Agde,43.28074,3.5054,,,,
336,LE CREUSOT,46.80535,4.4278,,,,
337,LE GRAND BORNAND,45.94203,6.4267,,,,
338,LE HAVRE,49.49437,0.10793,,,,
339,LE MANS,48.00611,0.19956,,,,
340,LE MONT ST.MICHEL,48.63606,-1.51146,,,,
341,LE PLEYNET,45.27139,6.05544,,,,
342,LE PUY,45.04277,3.88294,,,,
343,LE PUY DE DOME,45.77202,2.96245,,,,
344,LE PUY DU FOU,46.8896,-0.92812,,,,
345,LE PUY EN VELAY,45.04277,3.88294,,,,
346,LE TOUQUET,50.52128,1.59068,,,,
347,LE TREPORT,50.05917,1.38247,,,,
348,LEIDEN,48.66144,6.18428,,,,
349,LENNEMEZAN,43.12552,0.38396,,,,
350,LES ARCS,45.57223,6.82964,,,,
351,LES DEUX ALPES,45.01763,6.12487,,,,
352,LES ECHELLES,45.43657,5.75369,,,,
353,Les Essarts,46.77414,-1.23052,,,,
354,LES MENUIRES,45.32317,6.53786,,,,
355,LES SABLES D OLONNE,46.49296,-1.79549,,,,
356,LEVALLOIS PERRET,48.89322,2.28786,,,,
357,LEZAT SUR LEZE,43.27627,1.34658,,,,
358,LEZIGNAN CORBIERES,43.2005,2.75778,,,,
359,Liège,50.63256,5.57967,,,,
360,LIBOURNE,44.913,-0.24399,,,,
361,LIEGE,50.63256,5.57967,,,,
362,LIEVIN,50.41792,2.77522,,,,
363,LILLE,50.62925,3.05726,,,,
364,LIMOGES,45.83362,1.26111,,,,
365,Limoux,43.05329,2.21814,,,,
366,LISIEUX,49.14592,0.22785,,,,
367,LODEVE,43.73366,3.31398,,,,
368,LONDRES,51.50986,-0.118092,,,,
369,Longjumeau,48.69306,2.29476,,,,
370,LONGWY,49.51992,5.76177,,,,
371,LONS LE SAUNIER,46.67136,5.5508,,,,
372,LORIENT,47.74825,-3.37024,,,,
373,LOUDENVIELLE,42.7957,0.41274,,,,
374,LOUDUN,47.00897,0.08318,,,,
375,LOURDES,43.09146,-0.04573,,,,
376,LOUVROIL,50.26374,3.9595,,,,
377,LOVAINA,50.87984,4.70052,,,,
378,LUCHON,42.78896,0.59294,,,,
379,LUCON,46.45477,-1.16706,,,,
380,LUGNY,46.47167,4.80982,,,,
381,LUNEVILLE,48.59224,6.49234,,,,
